lenght1,angle1,lenght2,angle2,result,radius1
1.0,0,1.0,0,1,0.0
1.0,0,1.0,10,0,2.852
1.0,0,1.0,20,0,1.407
1.0,0,1.0,30,0,0.919
1.0,0,1.0,40,0,0.674
1.0,0,1.0,50,0,0.534
1.0,0,1.0,60,0,0.456
1.0,0,1.0,70,0,0.43
1.0,0,1.0,80,0,0.458
1.0,0,1.0,90,0,0.557
1.0,0,1.0,100,0,0.758
1.0,0,1.0,110,0,1.119
1.0,0,1.0,120,0,1.74
1.0,0,1.0,130,0,2.829
1.0,0,1.0,140,0,4.918
1.0,0,1.0,150,0,10.057
1.0,0,1.0,160,0,38.22
1.0,0,1.0,170,0,53.871
1.0,0,1.847,0,1,0.0
1.0,0,1.847,10,0,2.169
1.0,0,1.847,20,0,1.074
1.0,0,1.847,30,0,0.702
1.0,0,1.847,40,0,0.509
1.0,0,1.847,50,0,0.392
1.0,0,1.847,60,0,0.323
1.0,0,1.847,70,0,0.295
1.0,0,1.847,80,0,0.317
1.0,0,1.847,90,0,0.409
1.0,0,1.847,100,0,0.614
1.0,0,1.847,110,0,1.008
1.0,0,1.847,120,0,1.727
1.0,0,1.847,130,0,3.062
1.0,0,1.847,140,0,5.838
1.0,0,1.847,150,0,14.215
1.0,0,1.847,160,0,8408.165
1.0,0,1.847,170,0,23.246
1.0,0,3.411,0,1,0.0
1.0,0,3.411,10,0,1.522
1.0,0,3.411,20,0,0.78
1.0,0,3.411,30,0,0.527
1.0,0,3.411,40,0,0.387
1.0,0,3.411,50,0,0.289
1.0,0,3.411,60,0,0.219
1.0,0,3.411,70,0,0.181
1.0,0,3.411,80,0,0.186
1.0,0,3.411,90,0,0.262
1.0,0,3.411,100,0,0.466
1.0,0,3.411,110,0,0.913
1.0,0,3.411,120,0,1.811
1.0,0,3.411,130,0,3.611
1.0,0,3.411,140,0,7.772
1.0,0,3.411,150,0,25.724
1.0,0,3.411,160,0,40.019
1.0,0,3.411,170,0,14.15
1.0,0,6.3,0,1,0.0
1.0,0,6.3,10,0,1.03
1.0,0,6.3,20,0,0.608
1.0,0,6.3,30,0,0.477
1.0,0,6.3,40,0,0.386
1.0,0,6.3,50,0,0.292
1.0,0,6.3,60,0,0.198
1.0,0,6.3,70,0,0.125
1.0,0,6.3,80,0,0.097
1.0,0,6.3,90,0,0.142
1.0,0,6.3,100,0,0.342
1.0,0,6.3,110,0,0.889
1.0,0,6.3,120,0,2.15
1.0,0,6.3,130,0,4.928
1.0,0,6.3,140,0,12.15
1.0,0,6.3,150,0,70.536
1.0,0,6.3,160,0,26.367
1.0,0,6.3,170,0,11.166
1.0,0,11.635,0,0,0.0
1.0,0,11.635,10,0,0.76
1.0,0,11.635,20,0,0.659
1.0,0,11.635,30,0,0.705
1.0,0,11.635,40,0,0.693
1.0,0,11.635,50,0,0.573
1.0,0,11.635,60,0,0.376
1.0,0,11.635,70,0,0.182
1.0,0,11.635,80,0,0.069
1.0,0,11.635,90,0,0.064
1.0,0,11.635,100,0,0.256
1.0,0,11.635,110,0,1.017
1.0,0,11.635,120,0,3.113
1.0,0,11.635,130,0,8.207
1.0,0,11.635,140,0,22.961
1.0,0,11.635,150,0,559.549
1.0,0,11.635,160,0,29.567
1.0,0,11.635,170,0,11.612
1.0,0,21.488,0,0,0.0
1.0,0,21.488,10,0,0.778
1.0,0,21.488,20,0,1.225
1.0,0,21.488,30,0,1.76
1.0,0,21.488,40,0,2.013
1.0,0,21.488,50,0,1.817
