lenght1,angle1,lenght2,angle2,lenght3,angle3,result,radius1,radius2
25.0,0,25.0,45,25.0,-135,0,10482016.586,283351954.151
25.0,0,25.0,45,25.0,-90,1,10482016.586,495010285.537
25.0,0,25.0,45,25.0,-45,1,10482016.586,325123351.616
25.0,0,25.0,45,25.0,0,1,10482016.586,53878423.025
25.0,0,25.0,45,25.0,45,1,10482016.586,2765092.753
25.0,0,25.0,45,25.0,90,0,10482016.586,10395240.06
25.0,0,25.0,45,25.0,135,0,10482016.586,1.50158700461597e+17
25.0,0,25.0,45,44.457,-135,0,10482016.586,480663006.802
25.0,0,25.0,45,44.457,-90,1,10482016.586,786882476.571
25.0,0,25.0,45,44.457,-45,1,10482016.586,465052646.117
25.0,0,25.0,45,44.457,0,1,10482016.586,53878423.025
25.0,0,25.0,45,44.457,45,1,10482016.586,14224928.164
25.0,0,25.0,45,44.457,90,1,10482016.586,22977424.371
25.0,0,25.0,45,44.457,135,0,10482016.586,8.444041459252608e+16
25.0,0,25.0,45,79.057,-135,0,10482016.586,959586566.027
25.0,0,25.0,45,79.057,-90,1,10482016.586,1472262525.784
25.0,0,25.0,45,79.057,-45,1,10482016.586,775586188.943
25.0,0,25.0,45,79.057,0,1,10482016.586,53878423.025
25.0,0,25.0,45,79.057,45,1,10482016.586,56573497.062
25.0,0,25.0,45,79.057,90,1,10482016.586,57519422.195
25.0,0,25.0,45,79.057,135,0,10482016.586,4.748431526038143e+16
25.0,0,25.0,45,140.585,-135,1,10482016.586,2216162147.314
25.0,0,25.0,45,140.585,-90,0,10482016.586,3217087272.883
25.0,0,25.0,45,140.585,-45,0,10482016.586,1522907639.199
25.0,0,25.0,45,140.585,0,0,10482016.586,53878423.025
25.0,0,25.0,45,140.585,45,1,10482016.586,201354170.233
25.0,0,25.0,45,140.585,90,0,10482016.586,157420336.607
25.0,0,25.0,45,140.585,135,0,10482016.586,2.670247545285817e+16
25.0,0,25.0,45,250.0,-135,0,10482016.586,5731217980.052
25.0,0,25.0,45,250.0,-90,0,10482016.586,7983397598.287
25.0,0,25.0,45,250.0,-45,0,10482016.586,3468866974.912
25.0,0,25.0,45,250.0,0,0,10482016.586,53878423.025
25.0,0,25.0,45,250.0,45,0,10482016.586,678514838.38
25.0,0,25.0,45,250.0,90,0,10482016.586,456747252.466
25.0,0,25.0,45,250.0,135,0,10482016.586,1.501587004616095e+16
25.0,0,44.457,45,25.0,-135,0,20234161.287,1338174596.599
25.0,0,44.457,45,25.0,-90,1,20234161.287,2632427959.15
25.0,0,44.457,45,25.0,-45,1,20234161.287,1680960871.42
25.0,0,44.457,45,25.0,0,1,20234161.287,166968999.213
25.0,0,44.457,45,25.0,45,1,20234161.287,125397752.639
25.0,0,44.457,45,25.0,90,1,20234161.287,219597085.65
25.0,0,44.457,45,25.0,135,0,20234161.287,6899021.795
25.0,0,44.457,45,44.457,-135,1,20234161.287,1891620718.637
25.0,0,44.457,45,44.457,-90,1,20234161.287,3613420234.877
25.0,0,44.457,45,44.457,-45,1,20234161.287,2187642807.529
25.0,0,44.457,45,44.457,0,1,20234161.287,166968999.213
25.0,0,44.457,45,44.457,45,1,20234161.287,232603551.239
25.0,0,44.457,45,44.457,90,1,20234161.287,342226916.849
25.0,0,44.457,45,44.457,135,0,20234161.287,10337273.501
25.0,0,44.457,45,79.057,-135,1,20234161.287,3111821396.042
25.0,0,44.457,45,79.057,-90,1,20234161.287,5740891354.482
25.0,0,44.457,45,79.057,-45,1,20234161.287,3253306117.978
25.0,0,44.457,45,79.057,0,1,20234161.287,166968999.213
25.0,0,44.457,45,79.057,45,1,20234161.287,504412499.444
25.0,0,44.457,45,79.057,90,1,20234161.287,627224840.932
25.0,0,44.457,45,79.057,135,0,20234161.287,18162947.438
25.0,0,44.457,45,140.585,-135,1,20234161.287,6028008990.949
25.0,0,44.457,45,140.585,-90,1,20234161.287,10735212454.403
25.0,0,44.457,45,140.585,-45,1,20234161.287,5668972368.523
25.0,0,44.457,45,140.585,0,1,20234161.287,166968999.213
