lenght1,angle1,lenght2,angle2,lenght3,angle3,lenght4,angle4,result,radius1,radius2,radius3
25.0,0,25.0,45,25.0,-135,25.0,-135,0,10482016.586,283351954.151,686286808.91
25.0,0,25.0,45,25.0,-135,25.0,-45,0,10482016.586,283351954.151,681484.056
25.0,0,25.0,45,25.0,-135,25.0,45,0,10482016.586,283351954.151,74148002.694
25.0,0,25.0,45,25.0,-135,25.0,135,0,10482016.586,283351954.151,1448203844.869
25.0,0,25.0,45,25.0,-135,44.721,-135,0,10482016.586,283351954.151,1037162580.029
25.0,0,25.0,45,25.0,-135,44.721,-45,0,10482016.586,283351954.151,1327849.48
25.0,0,25.0,45,25.0,-135,44.721,45,0,10482016.586,283351954.151,97785892.115
25.0,0,25.0,45,25.0,-135,44.721,135,0,10482016.586,283351954.151,2081189340.144
25.0,0,25.0,45,25.0,-135,80.0,-135,0,10482016.586,283351954.151,1844928444.964
25.0,0,25.0,45,25.0,-135,80.0,-45,0,10482016.586,283351954.151,3016978.372
25.0,0,25.0,45,25.0,-135,80.0,45,0,10482016.586,283351954.151,148217271.695
25.0,0,25.0,45,25.0,-135,80.0,135,0,10482016.586,283351954.151,3499045449.4
25.0,0,25.0,45,44.721,-135,25.0,-135,0,10482016.586,483696634.555,735037862.052
25.0,0,25.0,45,44.721,-135,25.0,-45,0,10482016.586,483696634.555,1840003.226
25.0,0,25.0,45,44.721,-135,25.0,45,0,10482016.586,483696634.555,708653271.773
25.0,0,25.0,45,44.721,-135,25.0,135,0,10482016.586,483696634.555,4609637495.396
25.0,0,25.0,45,44.721,-135,44.721,-135,0,10482016.586,483696634.555,983055346.368
25.0,0,25.0,45,44.721,-135,44.721,-45,0,10482016.586,483696634.555,2761137.871
25.0,0,25.0,45,44.721,-135,44.721,45,0,10482016.586,483696634.555,879323393.095
25.0,0,25.0,45,44.721,-135,44.721,135,0,10482016.586,483696634.555,6015796646.698
25.0,0,25.0,45,44.721,-135,80.0,-135,0,10482016.586,483696634.555,1516517154.582
25.0,0,25.0,45,44.721,-135,80.0,-45,0,10482016.586,483696634.555,4873688.117
25.0,0,25.0,45,44.721,-135,80.0,45,0,10482016.586,483696634.555,1230526444.93
25.0,0,25.0,45,44.721,-135,80.0,135,0,10482016.586,483696634.555,8997541401.09
25.0,0,25.0,45,80.0,-135,25.0,-135,0,10482016.586,974933949.5,277981291.635
25.0,0,25.0,45,80.0,-135,25.0,-45,0,10482016.586,974933949.5,595531042.18
25.0,0,25.0,45,80.0,-135,25.0,45,0,10482016.586,974933949.5,8001304512.675
25.0,0,25.0,45,80.0,-135,25.0,135,0,10482016.586,974933949.5,21470013750.434
25.0,0,25.0,45,80.0,-135,44.721,-135,0,10482016.586,974933949.5,335786862.789
25.0,0,25.0,45,80.0,-135,44.721,-45,0,10482016.586,974933949.5,752330108.132
25.0,0,25.0,45,80.0,-135,44.721,45,0,10482016.586,974933949.5,9346473868.224
25.0,0,25.0,45,80.0,-135,44.721,135,0,10482016.586,974933949.5,25715351299.67
25.0,0,25.0,45,80.0,-135,80.0,-135,0,10482016.586,974933949.5,452806635.622
25.0,0,25.0,45,80.0,-135,80.0,-45,0,10482016.586,974933949.5,1078486029.984
25.0,0,25.0,45,80.0,-135,80.0,45,0,10482016.586,974933949.5,12013442988.341
25.0,0,25.0,45,80.0,-135,80.0,135,0,10482016.586,974933949.5,34264608132.442
25.0,0,25.0,45,25.0,-45,25.0,-135,0,10482016.586,325123351.616,4615225.25
25.0,0,25.0,45,25.0,-45,25.0,-45,1,10482016.586,325123351.616,13121536.619
25.0,0,25.0,45,25.0,-45,25.0,45,1,10482016.586,325123351.616,1096678577.703
25.0,0,25.0,45,25.0,-45,25.0,135,0,10482016.586,325123351.616,610365713.574
25.0,0,25.0,45,25.0,-45,44.721,-135,1,10482016.586,325123351.616,8991042.967
25.0,0,25.0,45,25.0,-45,44.721,-45,1,10482016.586,325123351.616,69990226.168
25.0,0,25.0,45,25.0,-45,44.721,45,1,10482016.586,325123351.616,1574391914.065
25.0,0,25.0,45,25.0,-45,44.721,135,0,10482016.586,325123351.616,1041376206.766
25.0,0,25.0,45,25.0,-45,80.0,-135,1,10482016.586,325123351.616,20425284.399
25.0,0,25.0,45,25.0,-45,80.0,-45,1,10482016.586,325123351.616,283988765.309
25.0,0,25.0,45,25.0,-45,80.0,45,1,10482016.586,325123351.616,2643835909.057
25.0,0,25.0,45,25.0,-45,80.0,135,0,10482016.586,325123351.616,2097918178.882
25.0,0,25.0,45,44.721,-45,25.0,-135,0,10482016.586,467123007.596,79230919.158
